Date,Equity,DrawdownPct,DrawdownDuration
2014-10-06,10000.0,0.0,
2014-10-07,10000.0,0.0,
2014-10-08,10000.0,0.0,
2014-10-09,10000.0,0.0,
2014-10-10,10000.0,0.0,
2014-10-13,10000.0,0.0,
2014-10-14,10000.0,0.0,
2014-10-15,10000.0,0.0,
2014-10-16,10000.0,0.0,
2014-10-17,10000.0,0.0,
2014-10-20,10000.0,0.0,
2014-10-21,10000.0,0.0,
2014-10-22,10000.0,0.0,
2014-10-23,10000.0,0.0,
2014-10-24,10000.0,0.0,
2014-10-27,10000.0,0.0,
2014-10-28,10000.0,0.0,
2014-10-29,10000.0,0.0,
2014-10-30,10000.0,0.0,
2014-10-31,10000.0,0.0,
2014-11-03,10000.0,0.0,
2014-11-04,10000.0,0.0,
2014-11-05,10000.0,0.0,
2014-11-06,10000.0,0.0,
2014-11-07,10000.0,0.0,
2014-11-10,10000.0,0.0,
2014-11-11,10000.0,0.0,
2014-11-12,10000.0,0.0,
2014-11-13,10000.0,0.0,
2014-11-14,10000.0,0.0,
2014-11-17,10000.0,0.0,
2014-11-18,10000.0,0.0,
2014-11-19,10000.0,0.0,
2014-11-20,10000.0,0.0,
2014-11-21,10000.0,0.0,
2014-11-24,10000.0,0.0,
2014-11-25,10000.0,0.0,
2014-11-26,10000.0,0.0,
2014-11-28,10000.0,0.0,
2014-12-01,10000.0,0.0,
2014-12-02,10000.0,0.0,
2014-12-03,10000.0,0.0,
2014-12-04,10000.0,0.0,
2014-12-05,10000.0,0.0,
2014-12-08,10000.0,0.0,
2014-12-09,10000.0,0.0,
2014-12-10,10000.0,0.0,
2014-12-11,10000.0,0.0,
2014-12-12,10000.0,0.0,
2014-12-15,10000.0,0.0,
2014-12-16,10000.0,0.0,
2014-12-17,10000.0,0.0,
2014-12-18,10000.0,0.0,
2014-12-19,10000.0,0.0,
2014-12-22,10000.0,0.0,
2014-12-23,10000.0,0.0,
2014-12-24,10000.0,0.0,
2014-12-26,10000.0,0.0,
2014-12-29,10000.0,0.0,
2014-12-30,10000.0,0.0,
2014-12-31,10000.0,0.0,
2015-01-02,10000.0,0.0,
2015-01-05,10000.0,0.0,
2015-01-06,10000.0,0.0,
2015-01-07,10000.0,0.0,
2015-01-08,10000.0,0.0,
2015-01-09,10000.0,0.0,
2015-01-12,10000.0,0.0,
2015-01-13,10000.0,0.0,
2015-01-14,10000.0,0.0,
2015-01-15,10000.0,0.0,
2015-01-16,10000.0,0.0,
2015-01-20,10000.0,0.0,
2015-01-21,10000.0,0.0,
2015-01-22,10000.0,0.0,
2015-01-23,10000.0,0.0,
2015-01-26,10000.0,0.0,
2015-01-27,10000.0,0.0,
2015-01-28,10000.0,0.0,
2015-01-29,10000.0,0.0,
2015-01-30,10000.0,0.0,
2015-02-02,10000.0,0.0,
2015-02-03,10000.0,0.0,
2015-02-04,10000.0,0.0,
